FDP,FDS,EIP,EDC,LUM,DI,PI,L1,L2,L1W,L2W
0.130705099,0.064059312,0.645466814,0.32840936,0.04649366,0.223825667,0.14671906,1.585678971,0.78705375,172.6099997,94.6652779
0.224017503,0.108124161,0.537343323,0.695047486,0.027914243,0.357814363,0.263392829,2.213653908,1.015819687,240.9209364,120.7276291
0.206666092,0.098599314,0.275015905,0.688373868,0.685093248,0.131932346,0.135363989,2.221044763,1.052144163,201.9298417,103.3025697
0.194550877,0.093188153,0.348091327,0.628175761,0.527402451,0.163378729,0.146289273,2.101076572,0.942630861,198.5454038,99.2501912
0.051640863,0.025820784,0.269140501,0.130327489,0.183510452,0.057602205,0.029430135,0.747472429,0.361407786,70.74604889,38.90088635
0.2720087,0.13099506,0.953334673,0.764415575,0.413592945,0.329047402,0.257107933,3.120502288,1.389158887,320.6116257,163.1371036
0.177421105,0.085567344,0.98236733,0.407190786,0.900116025,0.0539571,0.06238745,2.669007139,1.409490102,243.9930398,138.2939227
0.20062707,0.095947059,0.317047659,0.657298765,0.579781607,0.155597837,0.145172662,2.151472659,0.981555115,200.75852,101.2291236
0.125695963,0.060691288,0.454702164,0.35090835,0.558719278,0.060373255,0.057224772,1.668315071,0.81759432,150.671488,76.85093495
0.21686356,0.104452118,0.442235059,0.691039776,0.125821611,0.315592405,0.238946577,2.134951105,0.950564558,225.9960011,113.3020072
0.162472435,0.078711097,0.407719894,0.501876345,0.064433753,0.254917618,0.183086501,1.653217644,0.743884046,176.966515,88.49280182
0.068093906,0.033357152,0.236261552,0.196604863,0.336309053,0.035235704,0.024448358,0.930310587,0.463859385,81.560171,41.35595426
0.200071835,0.095962698,0.205437815,0.686170524,0.244199171,0.248456457,0.199883816,1.880182316,0.850640728,189.6385711,100.0539016
0.057551745,0.029056743,0.49943891,0.096398877,0.130097211,0.090106581,0.044648379,0.947298447,0.538448163,97.36779275,64.51077737
0.145347214,0.070391758,0.594676579,0.38984436,0.433772431,0.12989546,0.101138566,1.865066367,0.864268496,180.3194899,93.89316579
0.088789709,0.043861519,0.455395039,0.221585805,0.075410148,0.148793703,0.091680322,1.125516245,0.550021721,119.4759714,65.95813979
0.108320539,0.052752785,0.165959391,0.364006487,0.005913348,0.186060755,0.127692841,1.010706146,0.474887851,108.6357944,55.84678067
0.017497713,0.009650195,0.154168506,0.035404331,0.045312849,0.045095115,0.011000964,0.318129673,0.172129417,31.14328334,20.08585323
0.230294746,0.10989448,0.352904463,0.755350026,0.701751725,0.163540194,0.161076306,2.474811941,1.14252096,229.1437944,115.7916496
0.115899736,0.05738107,0.956768421,0.197395032,0.16050544,0.181112435,0.109074807,1.778136941,1.020566985,189.5028562,124.1078833
0.097880907,0.047708018,0.234593511,0.30755265,0.158564614,0.129291136,0.089768601,1.065359437,0.459779089,106.3810009,52.8159198
0.27337401,0.130907008,0.957595654,0.762279657,0.960979021,0.171639898,0.168978148,3.425753396,1.603566105,322.4047229,163.5828453
0.076502314,0.037294872,0.17898715,0.241557873,0.303662785,0.054571697,0.040189659,0.932766349,0.440947257,83.22875479,41.23438692
0.223646722,0.107328926,0.625319521,0.666067225,0.587578268,0.197467241,0.170880583,2.578288486,1.144399018,249.1374881,123.717043
0.263132662,0.126625854,0.80837619,0.767883465,0.365849623,0.324971555,0.254613807,2.911453155,1.277760006,299.4818643,150.2234137
0.185270114,0.088121222,0.026184628,0.671386834,0.647195124,0.103345948,0.116378792,1.837882661,0.967792445,160.497239,93.93689629
0.115553452,0.056077827,0.68564166,0.256308303,0.685804721,0.017495225,0.023348077,1.840229264,1.011669455,163.9297304,95.09494991
0.093206993,0.044957298,0.245542822,0.283317112,0.567125616,0.00400364,0.017053828,1.255207309,0.68790035,103.6615416,51.92294618
0.254471926,0.121704082,0.400791167,0.834101928,0.495618725,0.259734986,0.224087074,2.590509888,1.139843248,253.8965646,128.3256256
0.278390251,0.133304032,0.702369522,0.846160586,0.648922263,0.260233086,0.227043068,3.096422809,1.35828999,302.4663296,149.7749581
